Java HotSpot(TM) 64-Bit Server VM (25.171-b11) for windows-amd64 JRE (1.8.0_171-b11), built on Mar 28 2018 16:06:12 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8275748k(4083312k free), swap 16664356k(10047336k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.330: [GC (Allocation Failure) 0.330: [DefNew: 959K->63K(960K), 0.0008901 secs] 22320K->21710K(524224K), 0.0009122 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.335: [GC (Allocation Failure) 0.335: [DefNew: 959K->63K(960K), 0.0009276 secs] 22606K->22035K(524224K), 0.0009679 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.339: [GC (Allocation Failure) 0.339: [DefNew: 959K->63K(960K), 0.0010153 secs] 22931K->22395K(524224K), 0.0010493 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.342: [GC (Allocation Failure) 0.342: [DefNew: 959K->64K(960K), 0.0010856 secs] 23292K->22694K(524224K), 0.0011267 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.345: [GC (Allocation Failure) 0.345: [DefNew: 960K->63K(960K), 0.0011465 secs] 23591K->23213K(524224K), 0.0011757 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.349: [GC (Allocation Failure) 0.349: [DefNew: 959K->64K(960K), 0.0012749 secs] 24110K->23563K(524224K), 0.0013128 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.353: [GC (Allocation Failure) 0.353: [DefNew: 960K->64K(960K), 0.0011872 secs] 24460K->24033K(524224K), 0.0012215 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.357: [GC (Allocation Failure) 0.357: [DefNew: 960K->64K(960K), 0.0012760 secs] 24930K->24372K(524224K), 0.0013179 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.361: [GC (Allocation Failure) 0.361: [DefNew: 960K->63K(960K), 0.0010888 secs] 25269K->24775K(524224K), 0.0011200 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.363: [GC (Allocation Failure) 0.363: [DefNew: 959K->64K(960K), 0.0010682 secs] 25671K->25137K(524224K), 0.0010995 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.367: [GC (Allocation Failure) 0.367: [DefNew: 960K->64K(960K), 0.0011366 secs] 26033K->25605K(524224K), 0.0011769 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
